horizon,symbol,model,family,rmse,mase,hit_rate,base_rate,rmse_skill_pct,dir_skill_pct,dm_p,coverage,folds
1,AAPL,naive_last_price,baseline,0.016619905374271708,1.0,,0.5566116231438811,0.0,0.0,,0.7896825396825398,8
1,AAPL,historical_mean,baseline,0.016562362204104605,0.99279557918763,0.5566116231438811,0.5566116231438811,0.20008776084238233,0.0,0.4071197216152078,0.7916666666666667,8
1,AAPL,ridge,linear,0.020357753000365634,1.344084457584014,0.4830709165386584,0.5566116231438811,-22.421980105784133,-13.214285714285715,1.8388383682399478e-07,0.740079365079365,8
1,AAPL,elastic_net,linear,0.021514818742837134,1.4397428746411607,0.4771185355862775,0.5566116231438811,-30.439433104151338,-14.285714285714288,2.810537669262203e-08,0.7242063492063492,8
1,AAPL,random_forest,tree,0.016669077381049602,1.0033876800674049,0.5128008192524321,0.5566116231438811,-0.29365711081510426,-7.8571428571428585,0.40940205421467035,0.7936507936507937,8
1,AAPL,gradient_boosting,tree,0.016692211727235923,1.0056187069815556,0.5287058371735791,0.5566116231438811,-0.37386968072843363,-5.0000000000000036,0.3097287313029724,0.7857142857142858,8
1,AAPL,lightgbm,tree,0.017105476213439535,1.0463931336336312,0.4612455197132616,0.5566116231438811,-2.2732734748128314,-17.142857142857142,0.002359896169743303,0.7857142857142856,8
1,MSFT,naive_last_price,baseline,0.015261148849339209,1.0,,0.5277777777777778,0.0,0.0,,0.7976190476190476,8
1,MSFT,historical_mean,baseline,0.015280470635008571,0.9983184608241906,0.5277777777777778,0.5277777777777778,-0.10223887929545761,0.0,0.7479491400209459,0.7837301587301586,8
1,MSFT,ridge,linear,0.017154244032229368,1.2023151783754547,0.5138888888888888,0.5277777777777778,-11.321068666707035,-2.631578947368433,1.3356580368384385e-06,0.7876984126984127,8
1,MSFT,elastic_net,linear,0.01725598132611931,1.2131710763689934,0.5059523809523809,0.5277777777777778,-11.744057191400303,-4.1353383458646675,3.8137412361471945e-07,0.7956349206349206,8
1,MSFT,random_forest,tree,0.015334299959085848,1.0018444419806196,0.5396825396825397,0.5277777777777778,-0.4514533773761986,2.255639097744353,0.4375766764796256,0.7916666666666666,8
1,MSFT,gradient_boosting,tree,0.015296734241892818,1.0058295365625591,0.5257936507936508,0.5277777777777778,-0.24347804045923294,-0.3759398496240588,0.6420654606465148,0.7976190476190476,8
1,MSFT,lightgbm,tree,0.015756114713517143,1.0469671051834004,0.5357142857142857,0.5277777777777778,-3.032038112573021,1.5037593984962352,0.022866437918660276,0.7837301587301587,8
1,NVDA,naive_last_price,baseline,0.029158268593420758,1.0,,0.5337301587301587,0.0,0.0,,0.8134920634920635,8
1,NVDA,historical_mean,baseline,0.029153204601272503,0.9941923380289561,0.5337301587301587,0.5337301587301587,-0.11111816404771879,0.0,0.8588993411543921,0.8134920634920635,8
1,NVDA,ridge,linear,0.032983209147530404,1.1808195106404764,0.5376984126984127,0.5337301587301587,-12.849194211348426,0.743494423791819,8.774940146949461e-06,0.8075396825396826,8
1,NVDA,elastic_net,linear,0.03555249074723238,1.3276232993780601,0.5396825396825397,0.5337301587301587,-20.60141889521727,1.1152416356877284,2.258215836548061e-11,0.8055555555555556,8
1,NVDA,random_forest,tree,0.029207657237958408,0.9966539103855836,0.5198412698412698,0.5337301587301587,-0.3815272686729543,-2.602230483271366,0.677175591690141,0.8194444444444444,8
1,NVDA,gradient_boosting,tree,0.029332927825691697,1.0012206835213413,0.5257936507936507,0.5337301587301587,-0.7423606100733116,-1.486988847583638,0.3529246624617761,0.8115079365079365,8
1,NVDA,lightgbm,tree,0.029846001273295016,1.033308293566491,0.5218253968253967,0.5337301587301587,-2.2200937206766636,-2.2304832713754568,0.18404723881477691,0.8174603174603174,8
1,GOOGL,naive_last_price,baseline,0.018698496332445386,1.0,,0.5388504864311316,0.0,0.0,,0.8015873015873016,8
1,GOOGL,historical_mean,baseline,0.0186393713580425,0.9968470257373013,0.5388504864311316,0.5388504864311316,0.32441794949481517,0.0,0.27932781558249453,0.7996031746031745,8
1,GOOGL,ridge,linear,0.024397097112028365,1.3719214671736264,0.5367383512544803,0.5388504864311316,-31.66544700436993,-0.3690036900369051,0.0,0.7242063492063492,8
1,GOOGL,elastic_net,linear,0.024953268529074497,1.41192896151923,0.53465821812596,0.5388504864311316,-34.94159746935453,-0.7380073800738102,0.0,0.7142857142857142,8
1,GOOGL,random_forest,tree,0.018742052127256194,0.9928718097571791,0.5568036354326676,0.5388504864311316,-0.33997767592715,3.321033210332105,0.565504593933021,0.8015873015873015,8
1,GOOGL,gradient_boosting,tree,0.0187219496869406,0.998136641629905,0.5348822324628776,0.5388504864311316,-0.22247499048004826,-0.7380073800738102,0.6460440475423934,0.8015873015873015,8
1,GOOGL,lightgbm,tree,0.019546824157478708,1.0470160677152718,0.5129928315412187,0.5388504864311316,-4.5592869230460575,-4.797047970479705,0.0016790109710647094,0.8154761904761905,8
1,AMZN,naive_last_price,baseline,0.019917986638100123,1.0,,0.5337301587301587,0.0,0.0,,0.7817460317460317,8
1,AMZN,historical_mean,baseline,0.019905535183767222,0.9985617757996145,0.5337301587301587,0.5337301587301587,0.03857446672071996,0.0,0.9024179692268453,0.7976190476190477,8
1,AMZN,ridge,linear,0.021717094634357698,1.1022762368011432,0.5178571428571428,0.5337301587301587,-9.49420472404945,-2.973977695167276,0.00023882123715424086,0.7996031746031746,8
1,AMZN,elastic_net,linear,0.022362480486867276,1.1432601851518795,0.5277777777777777,0.5337301587301587,-12.557588984767198,-1.1152416356877284,2.83188114971189e-05,0.8015873015873015,8
1,AMZN,random_forest,tree,0.019907907898053176,0.9986027145830205,0.5317460317460316,0.5337301587301587,-0.051855673630174515,-0.3717472118959095,0.937952886197809,0.7916666666666667,8
1,AMZN,gradient_boosting,tree,0.019900859374650325,1.0019032305707027,0.5297619047619047,0.5337301587301587,0.1798379722811383,-0.743494423791819,0.796323421189423,0.7837301587301587,8
1,AMZN,lightgbm,tree,0.02032095434232334,1.0392267705993206,0.5376984126984128,0.5337301587301587,-1.903992974790869,0.743494423791819,0.20623465315705047,0.7996031746031746,8
1,META,naive_last_price,baseline,0.022034343523421658,1.0,,0.5248655913978495,0.0,0.0,,0.7896825396825397,8
1,META,historical_mean,baseline,0.022063374666450974,1.0027892045663815,0.5248655913978495,0.5248655913978495,-0.173893018978033,0.0,0.7341595699679462,0.7936507936507936,8
1,META,ridge,linear,0.023249823071922943,1.0628437974142073,0.5169290834613415,0.5248655913978495,-5.477612821393141,-1.5151515151515134,0.008201833966014593,0.8234126984126984,8
1,META,elastic_net,linear,0.024196541035431087,1.125697185485416,0.5049603174603174,0.5248655913978495,-9.527440278052413,-3.7878787878787934,0.00021874346151173896,0.8095238095238095,8
1,META,random_forest,tree,0.022288934556942863,1.0156823776721375,0.5308179723502303,0.5248655913978495,-1.0174894437182003,1.1363636363636296,0.21610332253828535,0.7857142857142858,8
1,META,gradient_boosting,tree,0.02208774932390153,1.0066833340409864,0.5229134664618535,0.5248655913978495,-0.27247265866472414,-0.3787878787878836,0.7128969436595454,0.7817460317460317,8
1,META,lightgbm,tree,0.023503584639570262,1.1085751678446534,0.5228494623655914,0.5248655913978495,-5.897818921499742,-0.3787878787878836,0.0015054741290883022,0.7896825396825398,8
1,TSLA,naive_last_price,baseline,0.03689621868485151,1.0,,0.5178571428571428,0.0,0.0,,0.8194444444444444,8
1,TSLA,historical_mean,baseline,0.03692333664714992,1.0007562525441072,0.5119047619047619,0.5178571428571428,-0.0492669739579954,-1.149425287356339,0.7735504104041269,0.8194444444444444,8
1,TSLA,ridge,linear,0.04241998203595227,1.172281137354434,0.49007936507936506,0.5178571428571428,-14.359777216184089,-5.363984674329514,8.143401407845197e-05,0.7896825396825397,8
1,TSLA,elastic_net,linear,0.04860756633892581,1.3639027463138986,0.5099206349206349,0.5178571428571428,-30.99600586265876,-1.532567049808445,4.6425796540461306e-10,0.7738095238095237,8
1,TSLA,random_forest,tree,0.03688483129529264,1.000892589867023,0.5138888888888888,0.5178571428571428,-0.013312733417536471,-0.7662835249042331,0.9768930243319045,0.8154761904761905,8
1,TSLA,gradient_boosting,tree,0.037121143358913394,1.010507648856724,0.503968253968254,0.5178571428571428,-0.5264458613639,-2.6819923371647625,0.25305957853166294,0.8194444444444444,8
1,TSLA,lightgbm,tree,0.03802426927172026,1.0356965835141836,0.5178571428571428,0.5178571428571428,-3.074964831871574,0.0,0.031035802519048694,0.8194444444444444,8
1,JPM,naive_last_price,baseline,0.015238391940445366,1.0,,0.5546594982078852,0.0,0.0,,0.7876984126984127,8
1,JPM,historical_mean,baseline,0.015213475780726687,0.9925156228318734,0.5546594982078852,0.5546594982078852,0.12282524606025413,0.0,0.755793603248573,0.7738095238095237,8
1,JPM,ridge,linear,0.017009247324968373,1.145651920989023,0.49699180747567845,0.5546594982078852,-12.410341490685761,-10.394265232974902,3.815020266140223e-06,0.7896825396825397,8
1,JPM,elastic_net,linear,0.01720868306885081,1.1642258981544336,0.48502304147465436,0.5546594982078852,-13.723434355784336,-12.544802867383515,5.634591075942552e-07,0.7936507936507936,8
1,JPM,random_forest,tree,0.015263289070614855,0.994031634895786,0.5546274961597542,0.5546594982078852,-0.16541377301475535,0.0,0.7729961495955506,0.7817460317460317,8
1,JPM,gradient_boosting,tree,0.01534697204472893,1.002985002563399,0.5506912442396313,0.5546594982078852,-0.6473445943153022,-0.7168458781361898,0.3296786962881719,0.7638888888888888,8
1,JPM,lightgbm,tree,0.015778996214995313,1.0364868389233144,0.5268177163338453,0.5546594982078852,-3.2241126315558644,-5.01792114695341,0.011657605342755506,0.7817460317460317,8
1,XOM,naive_last_price,baseline,0.014902972187961442,1.0,,0.5408666154633897,0.0,0.0,,0.7797619047619047,8
1,XOM,historical_mean,baseline,0.014887794099630015,0.9980229028359009,0.5408666154633897,0.5408666154633897,0.09952636058183639,0.0,0.427965730562887,0.7718253968253967,8
1,XOM,ridge,linear,0.0172972833039925,1.1742052958622535,0.508736559139785,0.5408666154633897,-16.100494507056506,-5.882352941176483,1.997361165351208e-09,0.748015873015873,8
1,XOM,elastic_net,linear,0.01773556690957321,1.2082394266154615,0.502784178187404,0.5408666154633897,-19.104519470777092,-6.985294117647066,2.7779334388355892e-11,0.7559523809523809,8
1,XOM,random_forest,tree,0.014910223489094751,1.0017687242848257,0.5207693292370711,0.5408666154633897,0.0032836195635765897,-3.6764705882352997,0.9920285881534974,0.7698412698412698,8
1,XOM,gradient_boosting,tree,0.015013151621069918,1.007745888020162,0.4830389144905274,0.5408666154633897,-0.7496383664085116,-10.661764705882355,0.17339272014303742,0.7599206349206349,8
1,XOM,lightgbm,tree,0.015493593135634172,1.0470467504839187,0.49887992831541217,0.5408666154633897,-3.5064898451926396,-7.720588235294123,0.00104533406262175,0.753968253968254,8
1,JNJ,naive_last_price,baseline,0.011049888555800642,1.0,,0.5476190476190477,0.0,0.0,,0.8055555555555555,8
1,JNJ,historical_mean,baseline,0.011062469794018395,1.0024180933180775,0.45238095238095233,0.5476190476190477,-0.11045822492410373,-17.391304347826093,0.27753428472552155,0.8055555555555555,8
1,JNJ,ridge,linear,0.01714434507523767,1.7896122767163278,0.4801587301587302,0.5476190476190477,-60.466349999064086,-12.318840579710152,0.0,0.7063492063492063,8
1,JNJ,elastic_net,linear,0.01725353772374397,1.8075015381056112,0.4801587301587301,0.5476190476190477,-61.12813050290418,-12.318840579710152,0.0,0.6825396825396826,8
1,JNJ,random_forest,tree,0.011132810643714495,1.0085383328429463,0.46428571428571425,0.5476190476190477,-0.684905642166056,-15.217391304347833,0.018563809340610637,0.8055555555555556,8
1,JNJ,gradient_boosting,tree,0.01118436649574088,1.0168934786480262,0.4742063492063492,0.5476190476190477,-1.057642148056659,-13.405797101449288,0.05244703965628972,0.8035714285714286,8
1,JNJ,lightgbm,tree,0.011624264224894766,1.0678440825471893,0.4801587301587301,0.5476190476190477,-4.783565196985595,-12.318840579710152,8.546608170512116e-06,0.7738095238095237,8
1,WMT,naive_last_price,baseline,0.014688798674317355,1.0,,0.550979262672811,0.0,0.0,,0.75,8
