horizon,symbol,model,rmse,mase,r2,rmse_skill_pct,dm_p,coverage
5,AAPL,naive_last_price,0.7081167255100211,1.0,-0.010316020282880395,0.0,,0.7996031746031746
5,AAPL,historical_mean,0.7086146945344799,1.0008776801488826,-0.011640359547332862,-0.07382510455067326,0.5335295025405054,0.7996031746031746
5,AAPL,ridge,0.809404659198956,1.1094512240243337,-0.33279193715476596,-34.11603765404643,0.24144813671190501,0.7916666666666666
5,AAPL,elastic_net,1.029924467954072,1.415763780955241,-1.2017677436533691,-77.59669743893312,0.04880001502184084,0.7440476190476191
5,AAPL,random_forest,0.6285836940956527,0.8905598028395979,0.20916610445299938,10.708913703031664,1.9230108083689856e-07,0.7976190476190477
5,AAPL,gradient_boosting,0.5875763770380392,0.8665980083790662,0.28861428793752364,15.449956584828817,0.005485958945401492,0.8293650793650793
5,AAPL,lightgbm,0.5775991814408493,0.8478283210727686,0.31508701607322553,17.619348762195607,0.0005719397088139733,0.8214285714285714
5,MSFT,naive_last_price,0.7065161254062422,1.0,-0.012750229021694148,0.0,,0.7638888888888888
5,MSFT,historical_mean,0.7062722606884803,0.9998171297138106,-0.01209906755595172,0.03776652288097759,0.6323702387597088,0.7678571428571428
5,MSFT,ridge,0.7597094180741842,1.0950187039309551,-0.20234118454177466,-15.966585741076544,0.15994323733286642,0.7777777777777778
5,MSFT,elastic_net,0.9465435816081713,1.3902275465121186,-0.8846127728683075,-42.94064280985119,0.0022940728699698543,0.7301587301587301
5,MSFT,random_forest,0.6325440869875784,0.8983149674016315,0.19507527190857976,9.840730727488989,1.751020926921143e-06,0.7638888888888888
5,MSFT,gradient_boosting,0.5875425488795918,0.8234599389128788,0.3070893210675475,14.848435787057813,0.004288164369972369,0.8075396825396826
5,MSFT,lightgbm,0.591013210186846,0.8348074714583014,0.297582226515272,14.71295834390891,0.004103975639929702,0.7996031746031745
5,NVDA,naive_last_price,0.643025027042508,1.0,-0.007328555726701214,0.0,,0.8035714285714286
5,NVDA,historical_mean,0.6431193346573436,0.9999628805022123,-0.007448813155491479,-0.02156642806872,0.8666462747529495,0.8115079365079365
5,NVDA,ridge,0.6357653783808755,1.0250044912902427,-0.14614031713297643,-0.0250244472260297,0.9969562004047545,0.8075396825396826
5,NVDA,elastic_net,0.7839371012657851,1.3311851471828264,-0.8221803849060317,-23.206718880543775,0.003615354739102683,0.8174603174603174
5,NVDA,random_forest,0.5763258369585192,0.8716180978270325,0.19285456811016313,10.179659568429166,1.776562097433043e-08,0.8253968253968254
5,NVDA,gradient_boosting,0.5644211046568693,0.8411190779353369,0.21655328142686148,11.936305823489878,0.0041644899519639456,0.8174603174603174
5,NVDA,lightgbm,0.5519565190376357,0.8196228745413543,0.25198842967274343,13.95718118271716,0.0006339644406219147,0.8035714285714286
5,GOOGL,naive_last_price,0.637216550694848,1.0,-0.005912242475865304,0.0,,0.8313492063492063
5,GOOGL,historical_mean,0.6376709849032345,0.9999311534753367,-0.007557409085743538,-0.06264554040442682,0.36215629922844705,0.8313492063492063
5,GOOGL,ridge,0.7644874318002066,1.271128452700094,-0.675935526246618,-24.017854037723254,0.019556916381366918,0.7837301587301587
5,GOOGL,elastic_net,1.1560907657421275,2.0340425751125517,-3.0360430549858286,-92.3479323954314,4.5117007729800207e-07,0.7281746031746031
5,GOOGL,random_forest,0.5585922932987142,0.8754090176339628,0.22912928265313884,12.052823166756255,2.2274387290188713e-07,0.8293650793650793
5,GOOGL,gradient_boosting,0.6160688357966622,0.9814510170045335,0.021962901785795325,2.4595813413360923,0.6779499551172539,0.8234126984126984
5,GOOGL,lightgbm,0.6037413224162618,0.9558782873489904,0.06385361340596711,4.239986757497927,0.4696176962049967,0.7916666666666667
5,AMZN,naive_last_price,0.654748940054154,1.0,-0.009199456250439109,0.0,,0.8234126984126984
5,AMZN,historical_mean,0.6549950293332247,1.0007415446919166,-0.009954297161756831,-0.03708231191201783,0.7980016602960291,0.8273809523809523
5,AMZN,ridge,0.6214790883502753,0.9596274412099335,-0.0033155194849417147,0.8338369084470276,0.9154759391620795,0.7976190476190477
5,AMZN,elastic_net,0.7586445169931848,1.1966413239303189,-0.6018381986673031,-24.112612941031287,0.08248756895856513,0.7896825396825398
5,AMZN,random_forest,0.5785069139377039,0.8821584895065374,0.21357855307114798,11.500308097008006,4.780668949599942e-08,0.8373015873015872
5,AMZN,gradient_boosting,0.5197769076614023,0.7793025408326782,0.3551354485626475,20.15456438255132,0.0006825057090154019,0.8392857142857143
5,AMZN,lightgbm,0.5066906842993962,0.7542750058845642,0.3861009239416927,22.154146170038135,0.00010224392505531199,0.8591269841269842
5,META,naive_last_price,0.6715400916809832,1.0,-0.00351887264479972,0.0,,0.8214285714285714
5,META,historical_mean,0.6714838989694197,0.9996345962776836,-0.0032819443330366904,0.006153579535128628,0.9393661904775774,0.8194444444444444
5,META,ridge,0.663543448661617,0.9844954519675413,-0.017988906169165375,-2.4960923226734044,0.79747410170076,0.8373015873015872
5,META,elastic_net,0.7741906580674852,1.1854084057633418,-0.4204459621245986,-20.637542675368724,0.10692050684972099,0.8392857142857142
5,META,random_forest,0.6033705645070357,0.9053394972453176,0.1899364691681596,10.081851617600101,2.124891646926308e-05,0.8055555555555556
5,META,gradient_boosting,0.5896276870595771,0.8900688925013485,0.208658050869154,12.070832768830064,0.05862648453061858,0.8273809523809523
5,META,lightgbm,0.5918440773134266,0.891076686856118,0.2019971746011477,11.792090530897559,0.06607522846531522,0.8075396825396826
5,TSLA,naive_last_price,0.6583234793481995,1.0,-0.007140880047679765,0.0,,0.8273809523809523
5,TSLA,historical_mean,0.6586312423487342,1.0002541816708947,-0.008275758492983093,-0.037080768727570934,0.5075141030735502,0.8253968253968254
5,TSLA,ridge,0.6425253829485995,0.9675156973576613,-0.018155056768870165,0.23729041048242694,0.9763628022933144,0.8472222222222221
5,TSLA,elastic_net,0.9621225919366543,1.506445179542218,-1.9842240835961356,-67.5625708280575,0.008372664902244642,0.8095238095238095
5,TSLA,random_forest,0.5716227667027238,0.8548796042190623,0.2467336356632589,12.458523809653643,2.191523211791946e-07,0.8353174603174602
5,TSLA,gradient_boosting,0.5048873417556643,0.7613976408596981,0.4053517309923722,22.84657954893291,1.0914506072046137e-05,0.871031746031746
5,TSLA,lightgbm,0.5064131253317081,0.7602209086128133,0.4017927461575519,22.646754873891517,1.2920923515569172e-05,0.8472222222222221
5,JPM,naive_last_price,0.7082690787079521,1.0,-0.005420130681192542,0.0,,0.8511904761904762
5,JPM,historical_mean,0.7082609907346384,1.0009296150313527,-0.005395223877845745,0.0014974286403290904,0.9887756662179976,0.8531746031746031
5,JPM,ridge,0.6731831841015912,1.011018533776894,0.026339828055665704,6.42252872077348,0.2871883062042695,0.8373015873015873
5,JPM,elastic_net,0.8488136608195278,1.3125447100671044,-0.6330838028943113,-18.438643130636056,0.020835835508199008,0.8432539682539683
5,JPM,random_forest,0.6272412985208587,0.8740227179653387,0.2111337446012098,11.25075279845813,3.469400549072077e-07,0.8293650793650793
5,JPM,gradient_boosting,0.6102014673163443,0.8778987930785028,0.21712632336033894,14.755282754107423,0.010857106540395067,0.8432539682539683
5,JPM,lightgbm,0.5982910774973194,0.8536871938149876,0.2540137999555109,16.300546837226058,0.0042431833000522445,0.8432539682539683
5,XOM,naive_last_price,0.607242196832139,1.0,-0.0029249990792035996,0.0,,0.8075396825396826
5,XOM,historical_mean,0.6074263504331678,1.0005503116061174,-0.0036626233546684928,-0.023515650149175116,0.7601722571584109,0.8075396825396826
5,XOM,ridge,0.5449131202782167,0.8800990173747909,0.1492335029718747,9.125370164403124,0.13061772516410253,0.8055555555555555
5,XOM,elastic_net,0.6837139789926379,1.1182350638226377,-0.39418953620274866,-16.70215742942034,0.10512323555837999,0.8015873015873016
5,XOM,random_forest,0.5172274517919114,0.8468973942676548,0.2754809390550144,14.557847308662431,1.4910295220715852e-12,0.7857142857142858
5,XOM,gradient_boosting,0.5069960828262235,0.8279766478946049,0.25766858728449693,16.4195914760922,0.0014084209070197584,0.7738095238095237
5,XOM,lightgbm,0.5155658443819066,0.8449320160162359,0.23574434637825872,15.084023088000698,0.002832095594742068,0.7599206349206349
5,JNJ,naive_last_price,0.6270011204623532,1.0,-0.0018508138888407577,0.0,,0.8571428571428572
5,JNJ,historical_mean,0.6269176239235325,1.0001762771046765,-0.0015515327248671884,0.011536660468181026,0.9204425245837311,0.8531746031746033
5,JNJ,ridge,0.7607618560174184,1.2359938531249375,-0.6828340136350686,-32.44748822535695,0.10095557338586092,0.8015873015873016
5,JNJ,elastic_net,0.9434771037094585,1.5452071684409785,-1.7549155569234598,-68.79611169506789,0.006732931261220099,0.7797619047619048
5,JNJ,random_forest,0.5490864800989324,0.8568781198496765,0.23183859972465298,12.239210445071091,2.864802104429742e-07,0.875
5,JNJ,gradient_boosting,0.5528781949462112,0.8517639738705866,0.2035599984749469,10.779186247120032,0.05054182750930569,0.871031746031746
5,JNJ,lightgbm,0.5696440576984471,0.8802281322271719,0.1440244263086346,7.749622485239893,0.1890536063992001,0.8511904761904762
5,WMT,naive_last_price,0.7151198373960185,1.0,-0.00625335844786179,0.0,,0.7916666666666667
5,WMT,historical_mean,0.7154899870106859,1.0005779849516303,-0.007589568918561579,-0.03750507021764715,0.8034916326755923,0.7837301587301587
5,WMT,ridge,0.8016524733080268,1.2804554969041007,-1.018381587503472,-12.247528134742813,0.29364210931495505,0.753968253968254
5,WMT,elastic_net,1.0632392561452466,1.715191868325105,-3.0213932888220616,-53.90717432604977,0.033878671383823944,0.75
5,WMT,random_forest,0.6490259554966429,0.9014356651422759,0.16343677624108588,9.32953997156999,0.00011727892469926005,0.7956349206349206
5,WMT,gradient_boosting,0.6685481041262793,0.9936684789741512,-0.0708917703692065,8.55956272950269,0.23085094990069077,0.751984126984127
5,WMT,lightgbm,0.6668006429056348,0.9822260830906208,-0.04232451899807618,8.835063933377041,0.21353759783217674,0.7658730158730158
5,SPY,naive_last_price,0.647112648944117,1.0,-0.012673957864373447,0.0,,0.7837301587301586
5,SPY,historical_mean,0.6477524881052381,1.001023100352648,-0.015493978487937127,-0.06721857847289403,0.6488756924264694,0.7738095238095237
5,SPY,ridge,0.694191727969828,1.037968616812192,-0.24428756426975984,-15.559953818310635,0.40119311643327427,0.8075396825396826
